JOB_ID,TITLE,COMPANY,COUNTRY,SOURCE,URL,SALARY_MIN,SALARY_MAX,POSTED_DATE,COLLECTED_DATE
adzuna_5831512911,Business Intelligence Analyst,Police Scotland,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5831512911?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=4E9E90D62B6995BAA401131D5F411CFDCADA0A26,35000.0,35000.0,2026-08-07,2026-08-07
adzuna_5816265999,Business Intelligence Developer,Teign Housing,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5816265999?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=9EB27A8F4BA8C05CD7C75419876FB9A2DBA75A9A,40000.0,40000.0,2026-07-26,2026-08-07
adzuna_5802507419,Business Intelligence Officer,Essential Employment,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5802507419?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=C82141B071660F3A6179F3402C5AAF3685C74F2D,36337.0,46030.0,2026-07-16,2026-08-07
adzuna_5811205956,Business Intelligence Developer,Sanderson,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5811205956?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=9AB52E559DBB135FE9A5B714ABDADA46DDE63A44,40000.0,45000.0,2026-07-22,2026-08-07
adzuna_5789988967,Business Intelligence Consultant,OneAdvanced,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5789988967?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=29B5F02E7165539DF94B67A26F4CAD2E494EA1F1,53657.02,53657.02,2026-07-06,2026-08-07
adzuna_5830574689,Business Intelligence Analyst,Police Scotland,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5830574689?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=9FA18B68AB8DF68D313542CF7D6AB584B80122DA,39590.0,,2026-08-06,2026-08-07
adzuna_5831881910,PL/SQL Developer,ARM,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5831881910?utm_medium=api&utm_source=8413080e,48800.32,48800.32,2026-08-07,2026-08-07
adzuna_5746367668,Lead SQL Developer,Leonardo,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5746367668?utm_medium=api&utm_source=8413080e,60986.38,60986.38,2026-05-31,2026-08-07
adzuna_5818225717,Senior Java / SQL Developer,Methods Business and Digital Technology,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5818225717?utm_medium=api&utm_source=8413080e,69887.03,69887.03,2026-07-28,2026-08-07
adzuna_5210485979,Oracle PL/SQL Developer,Citi,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5210485979?utm_medium=api&utm_source=8413080e,52428.8,52428.8,2025-05-22,2026-08-07
