JOB_ID,TITLE,COMPANY,COUNTRY,SOURCE,SALARY_MIN,SALARY_MAX,POSTED_DATE,COLLECTED_DATE,SKILL_NAME
adzuna_5831836335,Tableau Developer,Unicon Pharma Inc,us,adzuna,103505.84,103505.84,2026-08-07,2026-08-07,Tableau
adzuna_5805094655,Tableau Developer,Conch Technologies,us,adzuna,127518.13,127518.13,2026-07-17,2026-08-07,Tableau
adzuna_5822429043,QA ANALYST,AaraTechnologies Inc,us,adzuna,61644.1,61644.1,2026-07-31,2026-08-07,Agile
adzuna_5817724330,Oracle SQL & Tableau Developer,Apex Systems,us,adzuna,93897.3,93897.3,2026-07-27,2026-08-07,SQL
adzuna_5817724330,Oracle SQL & Tableau Developer,Apex Systems,us,adzuna,93897.3,93897.3,2026-07-27,2026-08-07,Tableau
adzuna_5802131008,Remote Tableau Developer,Insight Global,us,adzuna,85351.66,85351.66,2026-07-15,2026-08-07,Excel
adzuna_5802131008,Remote Tableau Developer,Insight Global,us,adzuna,85351.66,85351.66,2026-07-15,2026-08-07,SQL
adzuna_5802131008,Remote Tableau Developer,Insight Global,us,adzuna,85351.66,85351.66,2026-07-15,2026-08-07,Tableau
adzuna_5688932228,Tableau Developer with Python for Reston VA,"Hexaware Technologies, Inc",us,adzuna,70621.27,70621.27,2026-04-03,2026-08-07,Power BI
adzuna_5688932228,Tableau Developer with Python for Reston VA,"Hexaware Technologies, Inc",us,adzuna,70621.27,70621.27,2026-04-03,2026-08-07,SQL
adzuna_5688932228,Tableau Developer with Python for Reston VA,"Hexaware Technologies, Inc",us,adzuna,70621.27,70621.27,2026-04-03,2026-08-07,Tableau
adzuna_5688932228,Tableau Developer with Python for Reston VA,"Hexaware Technologies, Inc",us,adzuna,70621.27,70621.27,2026-04-03,2026-08-07,Python
adzuna_5809933403,Tableau Developer (Remote Texas Only),Nexxora Inc.,us,adzuna,87214.95,87214.95,2026-07-21,2026-08-07,SQL
adzuna_5809933403,Tableau Developer (Remote Texas Only),Nexxora Inc.,us,adzuna,87214.95,87214.95,2026-07-21,2026-08-07,Tableau
adzuna_5800354903,Senior QA Analyst,Compri Consulting,us,adzuna,69378.23,69378.23,2026-07-14,2026-08-07,SQL
adzuna_5800354903,Senior QA Analyst,Compri Consulting,us,adzuna,69378.23,69378.23,2026-07-14,2026-08-07,Agile
adzuna_5800354903,Senior QA Analyst,Compri Consulting,us,adzuna,69378.23,69378.23,2026-07-14,2026-08-07,Scrum
adzuna_5831819200,BI Consultant and Tableau Developer (Tool Engineer),TeleWorld Solutions,us,adzuna,194186.95,194186.95,2026-08-07,2026-08-07,Tableau
adzuna_5826298498,System Administrator (Tableau Developer) Job750 with Security Clearance,Allen Integrated Solutions LLC,us,adzuna,96599.02,96599.02,2026-08-02,2026-08-07,Tableau
adzuna_5829802603,Tableau Developer,Tek Ninjas,us,adzuna,93146.33,93146.33,2026-08-05,2026-08-07,SQL
adzuna_5829802603,Tableau Developer,Tek Ninjas,us,adzuna,93146.33,93146.33,2026-08-05,2026-08-07,Tableau
adzuna_5827173230,Tableau Developer,Conch Technologies Inc,us,adzuna,123916.66,123916.66,2026-08-03,2026-08-07,ETL
adzuna_5827173230,Tableau Developer,Conch Technologies Inc,us,adzuna,123916.66,123916.66,2026-08-03,2026-08-07,SQL
adzuna_5827173230,Tableau Developer,Conch Technologies Inc,us,adzuna,123916.66,123916.66,2026-08-03,2026-08-07,Tableau
adzuna_5829802202,Tableau Developer,Sumeru Solutions,us,adzuna,84382.22,84382.22,2026-08-05,2026-08-07,Tableau
adzuna_5828143692,Power BI Developer - Sales Operations,MCS Group,gb,adzuna,60000.0,60000.0,2026-08-04,2026-08-07,Power BI
adzuna_5814257782,Power Bi Developer,Harvey Nash,gb,adzuna,58636.67,58636.67,2026-07-24,2026-08-07,Power BI
adzuna_5822373639,Senior Power BI Developer/FP&A,JMF Associates,gb,adzuna,75000.0,85000.0,2026-07-31,2026-08-07,Power BI
adzuna_5831369593,Power BI Developer,William Alexander,gb,adzuna,88655.83,88655.83,2026-08-07,2026-08-07,Power BI
adzuna_5831369593,Power BI Developer,William Alexander,gb,adzuna,88655.83,88655.83,2026-08-07,2026-08-07,Azure
adzuna_5814247294,Power BI Developer,Advanced Resource Managers Ltd,gb,adzuna,71023.48,71023.48,2026-07-24,2026-08-07,Power BI
adzuna_5817731390,Power BI Developer,Anson Mccade,gb,adzuna,82522.45,82522.45,2026-07-28,2026-08-07,Power BI
adzuna_5817732728,Power BI Developer,Anson Mccade,gb,adzuna,156000.0,171600.0,2026-07-28,2026-08-07,Power BI
adzuna_5818385010,Power BI Developer,Anson McCade,gb,adzuna,85183.0,85183.0,2026-07-28,2026-08-07,Power BI
adzuna_5830331239,Power BI Developer,Adria Solutions Ltd,gb,adzuna,40000.0,70000.0,2026-08-06,2026-08-07,ETL
adzuna_5830331239,Power BI Developer,Adria Solutions Ltd,gb,adzuna,40000.0,70000.0,2026-08-06,2026-08-07,Power BI
adzuna_5830331239,Power BI Developer,Adria Solutions Ltd,gb,adzuna,40000.0,70000.0,2026-08-06,2026-08-07,Azure
adzuna_5830331735,Power BI Developer,ARM,gb,adzuna,45000.0,80000.0,2026-08-06,2026-08-07,Power BI
adzuna_5830331735,Power BI Developer,ARM,gb,adzuna,45000.0,80000.0,2026-08-06,2026-08-07,SQL
adzuna_5805057344,Contract Power BI Developer,Adria Solutions Ltd,gb,adzuna,0.0,91000.0,2026-07-17,2026-08-07,Power BI
adzuna_5809726467,Senior Power BI Developer,Method Resourcing,gb,adzuna,70000.0,80000.0,2026-07-21,2026-08-07,Power BI
adzuna_5805474099,Contract Power BI Developer,Adria Solutions,gb,adzuna,79141.95,79141.95,2026-07-18,2026-08-07,Power BI
adzuna_5826717385,Power BI Developer - IT,Alois Technologies Limited,gb,adzuna,104000.0,130000.0,2026-08-03,2026-08-07,Power BI
adzuna_5826717385,Power BI Developer - IT,Alois Technologies Limited,gb,adzuna,104000.0,130000.0,2026-08-03,2026-08-07,Statistics
adzuna_5822527558,Senior Power BI Developer/FP&A,JMF ASSOCIATES,gb,adzuna,80485.68,80485.68,2026-07-31,2026-08-07,Power BI
adzuna_5811049018,Power BI Developer - OUTSIDE IR35,Henderson Scott,gb,adzuna,117000.0,130000.0,2026-07-22,2026-08-07,Power BI
adzuna_5812679038,Tableau Developer,Harnham - Data & Analytics Recruitment,gb,adzuna,104000.0,130000.0,2026-07-23,2026-08-07,Tableau
adzuna_5822593988,BI Analyst/Tableau Developer,INSIGHT INTERNATIONAL  Limited,gb,adzuna,49434.84,49434.84,2026-07-31,2026-08-07,SQL
adzuna_5822593988,BI Analyst/Tableau Developer,INSIGHT INTERNATIONAL  Limited,gb,adzuna,49434.84,49434.84,2026-07-31,2026-08-07,Tableau
adzuna_5670435548,Data Analyst (Tableau Developer),N Consulting Ltd,gb,adzuna,78000.0,91000.0,2026-03-18,2026-08-07,Excel
adzuna_5670435548,Data Analyst (Tableau Developer),N Consulting Ltd,gb,adzuna,78000.0,91000.0,2026-03-18,2026-08-07,SQL
adzuna_5670435548,Data Analyst (Tableau Developer),N Consulting Ltd,gb,adzuna,78000.0,91000.0,2026-03-18,2026-08-07,Tableau
adzuna_5670435548,Data Analyst (Tableau Developer),N Consulting Ltd,gb,adzuna,78000.0,91000.0,2026-03-18,2026-08-07,Python
adzuna_5210480882,Product and Visualization Development lead,Citi,gb,adzuna,44260.9,44260.9,2025-05-22,2026-08-07,Statistics
adzuna_5827868364,Python Developer,Alexander Mann Solutions - Contingency,gb,adzuna,54413.39,54413.39,2026-08-04,2026-08-07,Python
adzuna_5830781580,Python Developer,Queen Square Recruitment Ltd,gb,adzuna,109200.0,109200.0,2026-08-06,2026-08-07,Python
adzuna_5799931573,Python Developer,Brio Digital,gb,adzuna,143000.0,143000.0,2026-07-14,2026-08-07,Python
adzuna_5799931573,Python Developer,Brio Digital,gb,adzuna,143000.0,143000.0,2026-07-14,2026-08-07,Azure
adzuna_5119759219,Python developer,Enorth Staffing Limited,gb,adzuna,64591.38,64591.38,2025-03-31,2026-08-07,Python
adzuna_5793436073,Digital Operations Data Visualisation Specialist,Safran Actuation Systems,gb,adzuna,36558.85,36558.85,2026-07-09,2026-08-07,Tableau
adzuna_5210489457,HR Analytics Manager,idfc first bank,gb,adzuna,42989.4,42989.4,2025-05-22,2026-08-07,SQL
adzuna_5210489457,HR Analytics Manager,idfc first bank,gb,adzuna,42989.4,42989.4,2025-05-22,2026-08-07,Tableau
adzuna_5210489457,HR Analytics Manager,idfc first bank,gb,adzuna,42989.4,42989.4,2025-05-22,2026-08-07,AWS
adzuna_5803552706,Python Developer,Ocho,gb,adzuna,60000.0,60000.0,2026-07-16,2026-08-07,Python
adzuna_5809348689,Python Developer,McGregor Boyall,gb,adzuna,150000.0,200000.0,2026-07-21,2026-08-07,SQL
adzuna_5809348689,Python Developer,McGregor Boyall,gb,adzuna,150000.0,200000.0,2026-07-21,2026-08-07,Python
adzuna_5789988222,Python Developer,Barclays,gb,adzuna,72437.22,72437.22,2026-07-06,2026-08-07,Python
adzuna_5827885466,Senior Python Developer,Spectrum It Recruitment Limited,gb,adzuna,80000.0,80000.0,2026-08-04,2026-08-07,Python
adzuna_5831828693,Power BI Developer,Page Group,us,adzuna,80971.24,80971.24,2026-08-07,2026-08-07,Power BI
adzuna_5831825435,Power BI Developer,Stefanini,us,adzuna,84403.79,84403.79,2026-08-07,2026-08-07,Power BI
adzuna_5817552237,Power BI Developer,Search Tactics LLC,us,adzuna,120362.26,120362.26,2026-07-27,2026-08-07,Power BI
adzuna_5830862884,Power BI Developer,"Connexion Systems and Engineering, Inc.",us,adzuna,87213.29,87213.29,2026-08-06,2026-08-07,Power BI
adzuna_5827213465,Power BI Developer,"Judge Group, Inc.",us,adzuna,138627.56,138627.56,2026-08-03,2026-08-07,Power BI
adzuna_5830506052,Lead Machine Learning Engineer (IC),Capital One,us,adzuna,156150.3,156150.3,2026-08-06,2026-08-07,Machine Learning
adzuna_5830506052,Lead Machine Learning Engineer (IC),Capital One,us,adzuna,156150.3,156150.3,2026-08-06,2026-08-07,Agile
adzuna_5826911660,Senior Lead Machine Learning Engineer,Capital One,us,adzuna,241686.61,241686.61,2026-08-03,2026-08-07,Machine Learning
